"variable","media","mediana","maximo","minimo","desviacion_estandar","coeficiente_variacion","asimetria","curtosis","jarque_bera","p_valor_jb"
"IDH 2007",0.348848656992637,0.342412632775115,0.4901105429302,0.214728207455334,0.0692685124638001,0.198563219537526,0.225408673767683,2.28165702905579,0.719252904743778,0.697936990090006
"IDH 2019",0.517498552519714,0.511410535580212,0.707336107289594,0.383825337568502,0.084029054389474,0.162375438501875,0.522008319346526,2.55477423365662,1.288196724884,0.525135810886222
"ln PBIpc relativo 2007",-0.214388858057857,-0.34957601850705,1.46496821919345,-0.951501425669949,0.619306357375565,NA,0.826909970487387,3.23878788829274,2.79214005276111,0.247567990308769
"ln PBIpc relativo 2019",-0.121097698380845,-0.225301800648703,1.13368466843056,-0.730211420220638,0.474962873999832,NA,0.798913453067125,3.01463694985784,2.55326506226769,0.278975160627303
