"variable","matriz","moran_i","esperanza","varianza","p_valor"
"IDH 2007","Banda inversa",-0.0273451639892286,-0.0434782608695652,0.013270634849823,0.444311672161342
"Cambio IDH","Banda inversa",-0.066225254532976,-0.0434782608695652,0.0128327009776096,0.579572746462955
"ln PBIpc 2007","Banda inversa",0.0692299351236915,-0.0434782608695652,0.0126406423329614,0.15805857942571
"Cambio ln PBIpc","Banda inversa",-0.0768522408472507,-0.0434782608695652,0.0107046173775876,0.626489106373682
"IDH 2007","Queen",-0.0689976611988564,-0.0434782608695652,0.0181244059204804,0.575171643258776
"Cambio IDH","Queen",-0.0276814274769538,-0.0434782608695652,0.0175245605279628,0.452507303472707
"IDH 2007","KNN k=4",-0.0713443044211937,-0.0434782608695652,0.0148836664133637,0.590337311873794
"Cambio IDH","KNN k=4",-0.0799468812141744,-0.0434782608695652,0.0143941648118615,0.619423393359013
